Timestamp,DayOfWeek,Hour,Solar_kW,Wind_kW,Grid_Generation_kW,Grid_SellingRate_$per_kWh,Temperature_C,Rain_mm,Humidity_%,AirFlow_mps,CBS_Load_kW,CI_Load_kW
2025-03-14 13:00:00,Friday,13.0,47.09700612113895,18.046165734807502,1009.1228970449462,0.2,18.35,0.0,82.2,3.71,14.531607348636626,6.814618353117336
2025-03-14 13:30:00,Friday,13.5,45.60867270386698,11.277227441089034,1006.4767999411836,0.2,21.18,0.0,75.04,4.31,17.185509337908844,7.19222699470468
2025-03-14 14:00:00,Friday,14.0,43.81915365100529,13.090954913991672,1012.735383313931,0.3,20.16,0.0,82.16,3.72,15.047185840407243,6.6379231403062935
2025-03-14 14:30:00,Friday,14.5,40.19862527969394,17.21692281981477,1009.0528095260294,0.3,19.76,0.14,80.41,4.76,15.983482856139366,7.094703281492974
2025-03-14 15:00:00,Friday,15.0,34.870739078937675,13.378827993030004,990.7953393162486,0.3,20.49,0.0,79.89,4.21,14.833529150821205,7.229791984278668
2025-03-14 15:30:00,Friday,15.5,32.39056661868406,20.41498253402498,1017.1605192586819,0.3,18.62,0.0,79.92,3.32,16.319493327030663,6.70028070949476
2025-03-14 16:00:00,Friday,16.0,24.30817983933956,18.095664099166246,993.5449448286497,0.3,21.24,0.0,83.12,3.41,16.140740189346527,6.484615495321047
2025-03-14 16:30:00,Friday,16.5,19.996385617415825,26.982431614065813,1002.3785303073428,0.3,20.39,0.0,77.6,3.35,16.787001843087527,6.562316183842881
2025-03-14 17:00:00,Friday,17.0,13.529174018269815,15.794384530405823,1005.1575711734357,0.3,20.85,0.0,82.0,2.68,15.60889986194262,6.50003276141919
2025-03-14 17:30:00,Friday,17.5,6.742876849709785,14.56046298065964,999.8599363610974,0.3,22.24,0.0,80.08,2.59,15.210597395335657,6.479458987422017
2025-03-14 18:00:00,Friday,18.0,6.2760263692530554e-15,20.489812600486726,1000.5274503765623,0.3,22.8,0.0,81.28,2.12,15.345139777240208,6.210973760238137
2025-03-14 18:30:00,Friday,18.5,0.0,21.097904859493074,1001.1192644120067,0.3,23.08,0.0,74.93,2.42,14.274046845519502,6.596736101022565
2025-03-14 19:00:00,Friday,19.0,0.0,12.721406287710867,990.3406093430226,0.3,22.96,0.0,76.89,1.64,15.120938339513373,6.214160407473059
2025-03-14 19:30:00,Friday,19.5,0.0,13.748684627692512,1016.0579738456838,0.3,25.38,0.0,74.83,1.73,16.031539171409296,6.128803521400287
2025-03-14 20:00:00,Friday,20.0,0.0,20.970752869293605,499.09082129535545,0.2,25.76,0.0,79.68,2.09,9.595850857322425,5.800109651170732
2025-03-14 20:30:00,Friday,20.5,0.0,16.35606391982923,491.5546927392997,0.2,24.98,0.0,69.28,0.96,10.285673755163394,6.123238501872359
2025-03-14 21:00:00,Friday,21.0,0.0,26.290078920274237,508.99599826583847,0.2,26.69,0.0,77.74,1.18,9.765412173947647,5.506681577065946
2025-03-14 21:30:00,Friday,21.5,0.0,25.54705958037931,499.3738631958994,0.2,27.8,0.0,71.87,0.5,10.129694654499847,5.85767943698825
2025-03-14 22:00:00,Friday,22.0,0.0,23.736062523786206,505.3797483036102,0.15,27.05,0.0,68.15,0.5,10.257219417029374,4.735344720368226
2025-03-14 22:30:00,Friday,22.5,0.0,11.944909560788515,503.431463911856,0.15,26.95,0.0,73.4,0.93,10.084986451453654,4.79677150639132
2025-03-14 23:00:00,Friday,23.0,0.0,20.31361184268563,492.68030456901283,0.15,29.53,0.0,73.1,0.6,9.120630256788443,4.416863067173149
2025-03-14 23:30:00,Friday,23.5,0.0,15.636967707452001,505.6730602548229,0.15,27.14,0.0,75.81,0.5,9.992640870682532,4.688834582051633
2025-03-15 00:00:00,Saturday,0.0,0.0,21.683090060047224,499.85236187985737,0.15,29.94,0.0,65.74,0.5,9.530060106836322,4.489703005708341
2025-03-15 00:30:00,Saturday,0.5,0.0,18.679374616787367,493.4463974240326,0.15,28.48,0.0,69.07,0.5,9.282955565383737,4.533798309688662
2025-03-15 01:00:00,Saturday,1.0,0.0,19.292998730330726,490.78624279682197,0.15,29.95,0.62,73.66,0.5,9.689818138732225,4.478252009769991
2025-03-15 01:30:00,Saturday,1.5,0.0,15.611953462889533,502.36509543060595,0.15,30.13,0.0,74.8,0.5,10.288278481527882,4.622182655777139
2025-03-15 02:00:00,Saturday,2.0,0.0,13.406305668839273,498.9482473364691,0.15,28.43,0.0,72.18,0.5,9.976104561313232,4.488753475476133
2025-03-15 02:30:00,Saturday,2.5,0.0,15.938348138825548,501.871849071081,0.15,29.15,0.0,70.83,1.15,10.038684153823809,4.516568668628158
2025-03-15 03:00:00,Saturday,3.0,0.0,19.237565073259088,492.5516060559113,0.15,28.84,0.0,67.01,0.5,10.470642289030238,4.730875943480957
2025-03-15 03:30:00,Saturday,3.5,0.0,9.99318242329521,494.91915456769016,0.15,29.43,0.0,68.79,0.5,10.024260813972413,4.609113366710638
2025-03-15 04:00:00,Saturday,4.0,0.0,17.413753602707885,497.9571119809148,0.15,28.58,0.0,73.69,1.26,10.103751742579568,5.1419966331753235
2025-03-15 04:30:00,Saturday,4.5,0.0,16.472751604427366,496.47358472808486,0.15,29.97,0.0,65.14,1.26,10.12986125086074,4.713557578541074
2025-03-15 05:00:00,Saturday,5.0,0.0,14.358495348859913,499.62280203709633,0.15,27.73,0.0,72.42,1.18,10.38012554731768,5.147840795898238
2025-03-15 05:30:00,Saturday,5.5,0.0,16.01499648751022,496.9773653308599,0.15,28.37,0.0,72.74,1.44,10.04329489373645,4.959203414956006
2025-03-15 06:00:00,Saturday,6.0,0.0,16.53668771232954,505.9053462371978,0.15,26.82,0.0,71.88,2.27,10.5174604635403,5.882667861733637
2025-03-15 06:30:00,Saturday,6.5,6.903008554701027,19.09905011889493,498.7826981714044,0.15,26.91,0.0,67.47,2.09,10.009209189594776,6.616846652020029
2025-03-15 07:00:00,Saturday,7.0,12.853229027565165,20.30120660736364,500.8710572222798,0.2,26.2,0.0,76.12,2.6,10.28446833723482,6.311080113269702
2025-03-15 07:30:00,Saturday,7.5,20.07944789377834,19.0103025176391,507.8778516610192,0.2,25.04,0.0,73.58,2.34,10.415167908272123,6.31472050170965
2025-03-15 08:00:00,Saturday,8.0,24.333831086839442,20.937949660164488,1016.3029691028524,0.2,25.54,0.0,72.93,3.64,15.388753709228052,6.56473211548133
2025-03-15 08:30:00,Saturday,8.5,31.723326835123864,21.47987376954778,1010.818453334013,0.2,23.62,0.0,74.06,2.6,14.454895825767004,6.948460840142093
2025-03-15 09:00:00,Saturday,9.0,35.928116071069084,17.668597143652793,1007.586894960504,0.2,25.37,0.62,75.01,3.47,16.208036636729084,6.8930281143098835
2025-03-15 09:30:00,Saturday,9.5,41.283087668702635,13.869676188799106,1008.2014513914856,0.2,22.98,0.0,77.57,3.64,15.636840635160652,6.95419594069693
2025-03-15 10:00:00,Saturday,10.0,42.492567205410275,27.534285977658563,993.739880436098,0.2,24.24,0.0,77.33,3.65,15.401183251036805,6.696523385619545
2025-03-15 10:30:00,Saturday,10.5,47.29060131887695,20.013385048840956,1000.4085960568868,0.2,20.34,0.0,75.15,3.72,14.912206694577177,6.8753393923080806
2025-03-15 11:00:00,Saturday,11.0,47.69928630345812,16.38087293094194,1017.445377032043,0.2,22.04,0.0,72.42,3.8,14.92543186388083,7.514712249796728
2025-03-15 11:30:00,Saturday,11.5,48.41758892075887,16.570969196224212,1016.9416286832214,0.2,20.79,0.0,86.92,3.43,16.6720075883282,6.419587212624048
2025-03-15 12:00:00,Saturday,12.0,50.70381373469114,16.69356901131067,994.6572073779214,0.2,20.61,0.0,78.62,3.3,15.155528318686386,6.7667790724521755
2025-03-15 12:30:00,Saturday,12.5,48.21092163597209,15.043632843097377,1009.7677182573045,0.2,21.49,0.08,80.67,3.42,15.332835813604158,7.1027686578578635
2025-03-15 13:00:00,Saturday,13.0,49.99992419293879,10.767348590039292,997.2951657299836,0.2,20.45,0.0,80.88,4.76,14.995037444985616,6.8385993699249275
2025-03-15 13:30:00,Saturday,13.5,48.94868891173948,8.710357531710962,996.2365876543809,0.2,19.01,0.06,75.99,4.73,14.830949138335614,6.805308056079326
2025-03-15 14:00:00,Saturday,14.0,43.64634843902999,15.706461306027546,1008.724467235474,0.3,20.71,0.0,72.78,3.84,15.632300821690725,6.793317886026361
2025-03-15 14:30:00,Saturday,14.5,41.92264685219779,21.213543821217055,1013.9956576784194,0.3,20.07,0.0,86.39,3.92,15.264001847829102,6.8195841769341365
2025-03-15 15:00:00,Saturday,15.0,37.24660304883993,23.177482654579702,995.150378575449,0.3,18.58,0.0,83.08,3.93,16.03081823768913,6.8471662142035985
2025-03-15 15:30:00,Saturday,15.5,31.35278681743007,15.36429067036084,1017.4323583777488,0.3,20.88,0.0,80.27,2.03,15.456390839592212,6.8354507186801525
2025-03-15 16:00:00,Saturday,16.0,25.757880273665968,13.3564555019007,998.660812103121,0.3,21.46,0.0,75.89,2.53,17.542667445386172,6.748416921225738
2025-03-15 16:30:00,Saturday,16.5,19.961862492783414,9.984722578145082,997.8679213289947,0.3,20.89,0.0,79.09,2.44,14.51730994174521,6.8469308789256775
2025-03-15 17:00:00,Saturday,17.0,13.550357489629137,9.434817391162523,1011.8456626861081,0.3,22.76,0.0,77.1,2.87,15.306273256874013,6.604135656763152
2025-03-15 17:30:00,Saturday,17.5,6.508130665141653,16.7400676609256,992.747462199799,0.3,22.45,0.0,73.6,2.15,16.445198074618688,6.504428883716635
2025-03-15 18:00:00,Saturday,18.0,6.387895407563416e-15,22.78341622899021,1010.7682969355355,0.3,21.85,0.0,80.05,2.21,15.845381381014176,6.351328400229925
2025-03-15 18:30:00,Saturday,18.5,0.0,13.319231993615114,998.9204702211765,0.3,21.78,0.0,81.61,1.7,15.374184872317162,6.46755179097555
2025-03-15 19:00:00,Saturday,19.0,0.0,12.624415992081316,996.9002651186311,0.3,22.58,0.0,81.25,1.39,15.392188259208076,6.3844408744505206
2025-03-15 19:30:00,Saturday,19.5,0.0,23.09065607550215,1008.4758956454691,0.3,24.22,0.0,77.92,1.26,16.55621966541402,5.99337264852324
2025-03-15 20:00:00,Saturday,20.0,0.0,18.33941521880191,507.4735422837268,0.2,23.37,0.0,71.36,0.79,9.859107695569746,5.7100155837803825
2025-03-15 20:30:00,Saturday,20.5,0.0,10.232347403412088,490.35747869466826,0.2,24.63,0.0,69.57,0.5,9.464710960161415,6.071848247707601
2025-03-15 21:00:00,Saturday,21.0,0.0,15.408792402825233,498.35161551569854,0.2,27.85,0.0,70.15,0.67,10.246225632004075,5.855384191578705
2025-03-15 21:30:00,Saturday,21.5,0.0,11.228081695535886,493.7287652428851,0.2,28.59,0.0,69.92,0.5,9.813300365811715,5.600647112527238
2025-03-15 22:00:00,Saturday,22.0,0.0,15.395239355735626,506.31666249981237,0.15,26.65,0.0,71.24,1.04,10.89793883654776,4.551132149177526
2025-03-15 22:30:00,Saturday,22.5,0.0,27.44736015043101,506.19032149449754,0.15,27.45,0.0,70.0,0.5,9.125726507521236,4.461480843374355
2025-03-15 23:00:00,Saturday,23.0,0.0,19.76957641958274,491.62092431815296,0.15,28.8,0.57,68.01,0.5,9.564888378928245,4.745054681426737
2025-03-15 23:30:00,Saturday,23.5,0.0,20.069280835699807,495.34056540338844,0.15,28.95,0.0,72.82,0.57,10.410241090598682,4.649112939003791
2025-03-16 00:00:00,Sunday,0.0,0.0,20.716605562981545,505.05433279115283,0.15,28.82,0.0,71.62,0.5,10.247477758780763,4.6172169494947255
2025-03-16 00:30:00,Sunday,0.5,0.0,10.073184826833119,502.33853836751484,0.15,29.56,0.0,66.36,0.5,10.322742090570538,4.855933246148187
2025-03-16 01:00:00,Sunday,1.0,0.0,14.752947186353515,500.8253315735222,0.15,29.37,0.0,71.46,0.5,10.204256174188712,4.553817942167039
2025-03-16 01:30:00,Sunday,1.5,0.0,12.888464747535652,496.91766113905913,0.15,29.25,0.0,69.07,0.5,10.78276201461717,4.5703893327029705
2025-03-16 02:00:00,Sunday,2.0,0.0,14.336684412208543,509.9424900031542,0.15,28.46,0.0,64.94,0.59,10.493654449628313,4.792405163216403
2025-03-16 02:30:00,Sunday,2.5,0.0,17.66976185606335,498.64669602085206,0.15,30.63,0.0,74.91,0.5,9.237237414537631,4.540127358299918
2025-03-16 03:00:00,Sunday,3.0,0.0,20.095262939869773,494.5990921178217,0.15,28.45,0.0,75.88,0.84,9.985537557912565,4.765190534791955
2025-03-16 03:30:00,Sunday,3.5,0.0,24.639690265780228,505.22047981886,0.15,29.06,0.0,71.53,1.14,9.955132152856386,4.931169959487754
2025-03-16 04:00:00,Sunday,4.0,0.0,14.401204583341496,498.60611789798924,0.15,28.92,0.26,66.79,1.42,9.673688010348805,4.7801472379822325
2025-03-16 04:30:00,Sunday,4.5,0.0,11.526074553690842,499.59877669434246,0.15,27.08,0.0,76.0,0.69,10.186065695546581,4.914604069027494
2025-03-16 05:00:00,Sunday,5.0,0.0,12.931504584938413,494.84090031725054,0.15,30.08,0.0,69.86,1.37,10.013442919497265,5.013620996621485
2025-03-16 05:30:00,Sunday,5.5,0.0,11.118930540207863,491.5715699431004,0.15,26.03,0.0,74.56,1.21,10.49444136865451,5.075641875458467
2025-03-16 06:00:00,Sunday,6.0,0.0,10.194428583856578,502.7286049908727,0.15,28.57,0.0,72.5,2.45,10.317585900840985,6.498365463195355
2025-03-16 06:30:00,Sunday,6.5,6.382805751866932,22.421643333959246,506.3459553992499,0.15,26.11,0.0,75.1,3.35,9.815239191588885,6.338659835861151
2025-03-16 07:00:00,Sunday,7.0,12.63082503121418,11.369606677849072,507.43567133184405,0.2,25.09,0.0,73.32,2.51,11.071135179305932,6.817068533267634
2025-03-16 07:30:00,Sunday,7.5,18.997275692470552,29.59275988359069,503.00651372693875,0.2,25.62,0.0,72.87,2.87,10.545523051082334,6.459642855147625
2025-03-16 08:00:00,Sunday,8.0,26.06792267441577,19.132222230288345,1000.378049776409,0.2,23.37,0.0,82.63,3.54,15.673044071349505,6.6155608536618065
2025-03-16 08:30:00,Sunday,8.5,30.367539734093686,22.908417141071837,996.31986567017,0.2,24.67,0.0,79.46,3.61,15.98113785384403,6.513220748924179
2025-03-16 09:00:00,Sunday,9.0,37.50859418595643,11.399045807224955,1019.1418528212491,0.2,23.58,0.0,75.54,3.69,15.440569967539725,6.952284944361099
2025-03-16 09:30:00,Sunday,9.5,39.902631971911795,14.567005255929159,1001.7324460995528,0.2,20.43,0.0,81.99,2.96,16.47540431519719,6.650633406393974
2025-03-16 10:00:00,Sunday,10.0,42.568931657887056,22.015757681206594,997.0815139003939,0.2,20.44,0.0,80.32,2.95,15.40031938732386,7.2171550012560095
2025-03-16 10:30:00,Sunday,10.5,45.579790325704025,9.640681569740766,1012.0920604519692,0.2,22.26,0.0,81.39,3.8,15.953858935575818,7.175298911177539
2025-03-16 11:00:00,Sunday,11.0,51.040830845384,10.591430705264022,998.0924883455097,0.2,21.12,0.0,76.81,4.3,15.643498393923991,6.9926052003569
2025-03-16 11:30:00,Sunday,11.5,48.291161764020444,17.11767556264598,1018.9535608930813,0.2,19.05,0.91,83.69,4.16,16.398607076901754,6.3700068866678965
2025-03-16 12:00:00,Sunday,12.0,50.9442329012846,14.964371855892178,990.8992076961804,0.2,21.18,0.0,75.7,4.14,15.244500523858436,7.225348342536165
2025-03-16 12:30:00,Sunday,12.5,48.963247018835126,23.4713174493209,1018.3384265842207,0.2,19.87,0.0,87.34,3.95,15.840769332700477,7.220637423161599
2025-03-16 13:00:00,Sunday,13.0,46.994160803750624,24.767675027006728,1010.2954015733173,0.2,20.3,0.0,76.27,3.55,15.907639823773323,7.186508781335163
2025-03-16 13:30:00,Sunday,13.5,48.42230700307429,20.63626351956037,1016.3554668390404,0.2,19.46,0.0,84.11,3.23,16.1181800488949,7.122892624769356
2025-03-16 14:00:00,Sunday,14.0,45.45686652053296,19.703150603671283,993.6062716611183,0.3,19.48,0.0,80.57,3.09,14.549381499088359,6.722823825728767
2025-03-16 14:30:00,Sunday,14.5,40.25749992549971,13.13376199547914,996.8180888178946,0.3,20.9,0.28,82.36,4.35,14.125632990360842,6.764710969330591
2025-03-16 15:00:00,Sunday,15.0,37.347024277741404,17.248069515612617,990.7692619741931,0.3,18.86,0.0,76.54,3.93,17.40782668443749,7.077157712165672
2025-03-16 15:30:00,Sunday,15.5,31.999501107245564,25.23693579312177,990.5469774802908,0.3,20.45,0.0,78.79,3.41,15.567772318550867,6.907718315227381
2025-03-16 16:00:00,Sunday,16.0,24.50355207112304,14.557733426267491,998.5461870588576,0.3,21.07,0.0,77.08,3.46,14.600649577463775,6.452569186754218
2025-03-16 16:30:00,Sunday,16.5,19.351438417822965,10.397691299115523,1010.4335356189495,0.3,21.41,0.0,84.13,2.88,15.81233334489919,6.463023004257653
2025-03-16 17:00:00,Sunday,17.0,12.884740360904427,22.347568219355377,1014.1797764932547,0.3,20.62,0.0,79.57,2.58,16.08030862032547,6.490673449114975
2025-03-16 17:30:00,Sunday,17.5,6.47937224344706,14.880113202997906,1002.3308540942012,0.3,21.61,0.0,77.57,2.64,16.223015656981705,6.344906983962138
2025-03-16 18:00:00,Sunday,18.0,6.107807141774863e-15,19.98709440692494,1010.0264969787441,0.3,22.31,0.0,75.34,1.41,15.916874497158918,6.419783830496167
2025-03-16 18:30:00,Sunday,18.5,0.0,8.9470244437815,1009.2591450132979,0.3,23.04,0.0,72.35,1.87,16.721645522368465,5.981476232573993
2025-03-16 19:00:00,Sunday,19.0,0.0,17.800774913316932,1010.8543366214278,0.3,22.18,0.0,72.08,1.77,16.839877636189975,6.04923216045938
2025-03-16 19:30:00,Sunday,19.5,0.0,17.697560346712166,999.7011468634656,0.3,23.8,0.0,74.44,1.14,15.168671686953946,6.124968521035451
2025-03-16 20:00:00,Sunday,20.0,0.0,14.533231219245652,507.60158175122916,0.2,24.99,0.0,81.36,1.61,9.395179490654398,6.2485541710505315
2025-03-16 20:30:00,Sunday,20.5,0.0,12.653941386158667,509.1525056901076,0.2,25.61,0.0,71.42,1.1,9.542520466108652,5.964507916433916
2025-03-16 21:00:00,Sunday,21.0,0.0,18.322053186419044,503.29823448974435,0.2,25.49,0.0,70.29,1.19,10.070858456819952,6.208938249669883
2025-03-16 21:30:00,Sunday,21.5,0.0,15.611365264839181,506.52135260505054,0.2,26.85,0.0,69.94,0.5,9.647856145904406,5.763423989953568
2025-03-16 22:00:00,Sunday,22.0,0.0,15.7534884351468,497.93963034148567,0.15,28.84,0.0,67.76,0.5,10.419245387225821,4.647747244337294
2025-03-16 22:30:00,Sunday,22.5,0.0,26.435111772546904,506.1185080023524,0.15,27.58,0.0,70.89,0.5,9.406043595678968,4.587264175642272
2025-03-16 23:00:00,Sunday,23.0,0.0,19.96167818439732,502.81944154690666,0.15,27.98,0.0,72.62,0.5,10.408883149600143,4.770412701687983
2025-03-16 23:30:00,Sunday,23.5,0.0,16.213651402003705,492.927479843245,0.15,29.03,0.0,72.49,0.5,9.09879554625289,4.4906003282135405
2025-03-17 00:00:00,Monday,0.0,0.0,12.580832345556686,502.81652629380415,0.15,29.29,0.0,66.86,0.5,10.745363068424975,4.580337708145249
2025-03-17 00:30:00,Monday,0.5,0.0,11.14734894632855,492.4276987884486,0.15,28.88,0.0,72.03,0.5,10.007843356897801,4.460309505987982
2025-03-17 01:00:00,Monday,1.0,0.0,22.323690547260888,496.12507241573223,0.15,29.76,0.0,77.11,0.5,9.887617299053659,4.418669029200166
2025-03-17 01:30:00,Monday,1.5,0.0,23.204661231061422,490.22062528857293,0.15,28.04,0.0,70.78,0.5,10.431550113085315,4.470005201743817
2025-03-17 02:00:00,Monday,2.0,0.0,14.595292352530135,490.24241549287785,0.15,28.73,0.0,71.18,0.87,9.920735213486514,4.6325677050772995
2025-03-17 02:30:00,Monday,2.5,0.0,17.434721604683887,499.5203625873753,0.15,28.74,0.0,68.64,0.5,10.1424449462861,4.665170405109709
2025-03-17 03:00:00,Monday,3.0,0.0,18.240438640465122,503.7626941217308,0.15,28.08,0.0,70.7,1.66,9.697142538498332,4.832184547021724
2025-03-17 03:30:00,Monday,3.5,0.0,13.664472445356308,500.36816043890406,0.15,29.39,0.0,70.88,1.64,9.885508569254876,4.739717972129666
2025-03-17 04:00:00,Monday,4.0,0.0,14.596627327013902,491.4251345553052,0.15,28.21,0.0,75.68,1.6,9.671552860514302,4.6928314886671805
2025-03-17 04:30:00,Monday,4.5,0.0,13.864080641404302,505.28745324443474,0.15,28.92,0.0,72.9,1.89,9.373705493817251,4.771967077527543
2025-03-17 05:00:00,Monday,5.0,0.0,21.67740895278795,502.87808507082264,0.15,27.6,0.0,72.52,1.16,10.463920064040618,4.990995135201719
2025-03-17 05:30:00,Monday,5.5,0.0,23.917816396457212,503.12957214663004,0.15,27.79,0.0,73.89,1.63,9.70261187272217,4.790952206853312
2025-03-17 06:00:00,Monday,6.0,0.0,49.21914914371913,508.8615167548941,0.15,23.22,27.23,97.7,19.19,12.02497512665772,12.916598701869464
2025-03-17 06:30:00,Monday,6.5,1.3262165314806307,66.17814541913542,505.5289489299945,0.15,21.91,10.86,87.47,11.32,11.967296419745296,12.81845017421319
2025-03-17 07:00:00,Monday,7.0,2.565805545441514,56.63594110434706,504.656030895325,0.2,22.27,22.73,96.42,11.6,11.85854059271844,12.864947056660004
2025-03-17 07:30:00,Monday,7.5,3.8064292085084284,68.84637152291663,491.9835619917443,0.2,21.7,22.32,87.82,13.55,11.659840262227057,13.528079460431961
2025-03-17 08:00:00,Monday,8.0,4.852614806771456,44.957513547309844,1012.372013481937,0.2,20.68,29.93,90.52,14.49,17.39462322125279,13.535033722014942
2025-03-17 08:30:00,Monday,8.5,6.266008377729664,43.40075088200027,12.391786749196815,0.2,20.86,11.3,93.7,15.61,19.714510379192298,13.782138126006664
2025-03-17 09:00:00,Monday,9.0,7.337270843177549,52.43007646777981,1014.7514823054019,0.2,21.24,12.95,89.92,14.34,19.24441171524948,13.556240703320059
2025-03-17 09:30:00,Monday,9.5,8.170131436117154,69.38350211673821,1017.9933999403067,0.2,20.28,18.2,97.6,13.84,19.57209197627736,14.219127541830321
2025-03-17 10:00:00,Monday,10.0,8.560207538317755,40.891133038662836,16.63394087351547,0.2,18.46,13.72,97.04,14.58,17.898069107214685,13.351895946801987
2025-03-17 10:30:00,Monday,10.5,9.036097554209116,56.06630376744733,1003.1055210784554,0.2,19.17,25.03,94.85,19.57,17.269017906616885,13.442625902018474
2025-03-17 11:00:00,Monday,11.0,9.608043715573466,54.791843310747,998.158491783859,0.2,19.49,28.0,85.33,16.64,18.766656544070642,13.98033638659904
2025-03-17 11:30:00,Monday,11.5,10.545822971328233,32.916625528972574,997.8047337288615,0.2,18.58,21.31,91.96,19.72,16.754818888196063,14.439819809370855
2025-03-17 12:00:00,Monday,12.0,9.814095784887932,32.67210173437313,997.5289998402089,0.2,18.88,24.16,93.15,10.82,18.612950013846827,13.549701614966045
2025-03-17 12:30:00,Monday,12.5,9.781371471317449,73.44938625429407,1010.0706701198733,0.2,15.45,20.25,97.1,14.59,17.534998835804746,13.664339357206893
2025-03-17 13:00:00,Monday,13.0,9.528574635538112,48.3550104202556,1005.5815757851182,0.2,16.33,19.96,86.58,16.57,17.99234105640469,13.773836133275804
2025-03-17 13:30:00,Monday,13.5,9.67820337960259,55.116333124585985,1005.6998889358422,0.2,16.89,17.92,98.73,15.33,18.44520991792205,13.59803759566324
